                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2147,                   4.72,                 1.6646,                0.09807,                 0.0989,                0.05944,                0.02937,                 1.9184,                 2.7227,                 1.4963,                0.00012,                0.00012,                0.00012
                      2,                  1.652,                 1.4396,                 1.2037,                0.86048,                0.81327,                0.86067,                0.42459,                 1.6442,                 1.5052,                 1.2506,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.5432,                0.95304,                 1.1723,                0.89294,                0.73323,                0.76713,                0.40536,                 1.6863,                 1.4003,                 1.2875,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.4572,                0.77378,                 1.1639,                0.94199,                0.71385,                0.81336,                0.42874,                 1.6724,                  1.332,                 1.3124,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.5327,                0.82568,                 1.1793,                0.12733,                0.56762,                0.09748,                0.04336,                 1.9424,                 15.366,                 1.4802,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.4849,                0.81785,                 1.1504,                0.92093,                0.65934,                0.79473,                0.37771,                 1.8187,                 1.4101,                 1.3564,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.4037,                0.76971,                 1.1247,                0.95678,                0.75824,                0.83597,                0.38758,                 1.8096,                 1.4955,                  1.451,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.4544,                0.81068,                  1.161,                0.53782,                0.65934,                   0.51,                0.22201,                 1.8041,                   2.51,                 1.4481,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.4579,                 0.8077,                 1.1743,                0.89144,                0.65934,                0.73749,                0.34075,                 1.8165,                 1.7945,                 1.3905,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.4866,                 0.7518,                   1.17,                0.01543,                 0.0989,                0.00642,                0.00293,                 2.6879,                 52.001,                 1.8403,               0.001257,               0.001257,               0.001257
                     11,                 1.4617,                0.79881,                 1.1547,                0.00022,                0.01099,                0.00011,                  3e-05,                 5.1464,                    inf,                 43.686,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.4564,                0.85871,                 1.2287,                 0.0004,                0.01099,                0.00013,                  8e-05,                 4.2481,                    inf,                 5.3717,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.4439,                0.76881,                 1.1604,                0.00135,                0.06593,                0.00071,                0.00027,                 4.0699,                    inf,                 5.6432,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.4297,                0.79504,                 1.1188,                0.02169,                0.28571,                0.01365,                0.00495,                 2.7226,                 9.4556,                 2.2847,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.4943,                0.79652,                 1.1628,                0.02044,                0.05495,                0.00337,                0.00095,                 3.7883,                 14.326,                 2.6485,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4749,                 0.7833,                 1.1426,                0.02044,                0.05495,                0.00337,                0.00095,                 4.9832,                    inf,                 7.6534,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4658,                0.74953,                 1.1689,                0.00023,                0.01099,                0.00011,                  2e-05,                 4.9625,                    inf,                 11.539,               0.001703,               0.001703,               0.001703
                     18,                 1.5123,                0.79032,                 1.1492,                0.00494,                0.12088,                0.00232,                0.00114,                 3.3905,                    inf,                 3.7363,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3863,                0.71632,                 1.1645,                0.71783,                0.63736,                0.65849,                0.33808,                 1.7824,                  1.792,                 1.3442,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4144,                0.72821,                 1.1663,                0.34645,                0.31868,                0.24455,                0.10168,                 2.2335,                 2.9501,                 1.5794,              0.0016436,              0.0016436,              0.0016436
